Predictor variable,Categorical,Sample average
BIO02,false,1451.5208333333333
BIO03,false,41.773809523809526
BIO05,false,2668.596389043899
BIO06,false,-758.4678577241443
BIO07,false,3427.0642671130954
BIO13,false,7841.083054315476
BIO14,false,1117.9681919642858
BIO15,false,50.979910714285715
BIO18,false,4839.555059523809
