"SPECIES","LONG_WGS84","LAT_WGS84"
"Microtus longicaudus",-118.427967,36.819483
"Microtus longicaudus",-118.3835,36.7721
"Microtus longicaudus",-119.70387,37.6475
"Microtus longicaudus",-119.08579,37.62852
"Microtus longicaudus",-119.08602,37.60582
"Microtus longicaudus",-118.7451,37.2014
"Microtus longicaudus",-118.7471,37.2001
"Microtus longicaudus",-118.41,36.3806
"Microtus longicaudus",-118.6898,36.3108
"Microtus longicaudus",-109.753366,43.006457
"Microtus longicaudus",-121.154208,40.714078
"Microtus longicaudus",-121.129074,40.758938
"Microtus longicaudus",-121.114813,40.737906
"Microtus longicaudus",-121.127383,40.719581
"Microtus longicaudus",-121.182357,40.730686
"Microtus longicaudus",-121.53307,40.432221
"Microtus longicaudus",-121.474732,40.520599
"Microtus longicaudus",-120.24495,41.459417
"Microtus longicaudus",-120.317548,41.425239
"Microtus longicaudus",-118.22488,37.40205
"Microtus longicaudus",-118.00818,37.41428
"Microtus longicaudus",-118.56301,37.17597
"Microtus longicaudus",-120.23158,39.431667
"Microtus longicaudus",-120.286223,39.458147
"Microtus longicaudus",-120.285487,39.46031
"Microtus longicaudus",-120.608532,39.310237
"Microtus longicaudus",-117.9317,37.46574
"Microtus longicaudus",-118.56307,37.19518
"Microtus longicaudus",-118.56908,37.20996
"Microtus mexicanus",-104.84506,31.91953
"Microtus mexicanus",-105.676392,32.644444
"Microtus mexicanus",-109.09,33.83
"Microtus mexicanus",-107.514442,33.883057
"Microtus mexicanus",-106.3825,34.792778
"Microtus mexicanus",-111.9375,35.9375
"Microtus montanus",-118.6244,42.7183
"Microtus montanus",-118.8664,42.8036
"Microtus montanus",-118.8683,42.8081
"Microtus montanus",-118.3872,46.0494
"Microtus montanus",-120.9381,47.1956
"Microtus montanus",-108.46,45.17
"Microtus montanus",-108.55,45.2
"Microtus montanus",-108.55,45.21
"Microtus montanus",-114.27,47.33
"Microtus montanus",-114.21,47.35
"Microtus montanus",-110.66,42.61
"Microtus montanus",-120.159545,39.782761
"Microtus montanus",-119.5276,45.3329
"Microtus montanus",-107.02,37.25
"Microtus montanus",-106.72,40.52
"Microtus montanus",-106.7,40.52
"Microtus montanus",-118.334788,46.2997
"Microtus montanus",-113.9595,46.8283
"Microtus montanus",-109.2235,33.6888
"Microtus montanus",-120.258629,39.43414
"Microtus montanus",-118.319839,46.049343
"Microtus montanus",-118.173077,46.2706
"Microtus montanus",-120.19853,39.42763
"Microtus montanus",-112.5942,42.9131
"Microtus montanus",-111.1375,43.3375
"Microtus montanus",-113.3748,45.6023
"Microtus montanus",-113.4684,45.6153
"Microtus montanus",-113.4887,45.6158
"Microtus montanus",-120.22386,39.43159
