SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-117.45548,34.029523,-117.45548,34.029523,357,1713,1699,55,47499,3443.875,383.625,3060.25,1196,2322,2363,1139,42582.27734,9399.950195,18.549999,95,25892.47656,434.324982,984,24265
Microtus californicus,-116.189,32.618,-116.189,32.618,861,1466,1754,54,51345,3310.725098,113.949997,3196.775146,935,2145,2204,886,36473.625,7564.674805,132.699997,80,19930.05078,2144.925049,3199,19559
Microtus californicus,-116.36,32.97,-116.36,32.97,475,1817,2010,53,61804,3937.475098,213.225006,3724.25,1060,2394,2621,1060,19586.59961,3962.725098,122.474999,71,10251.17578,1290.199951,2033,10251
Microtus californicus,-116.925,32.9905,-116.925,32.9905,430,1622,1686,57,44096,3241.725098,310.899994,2930.825195,1151,2192,2230,1102,47767.44922,10470.375,173.25,94,28812.60156,528.625,1163,26594
Microtus californicus,-122.1347,38.2106,-122.1347,38.2106,8,1494,1452,52,47390,3067.574951,292.774994,2774.800049,868,2064,2079,868,47819.72656,9994.625,26.15,92,27679.75,487.525024,1005,27680
Microtus californicus,-124.2623,40.60969,-124.2623,40.60969,1,1187,863,60,21136,1891.150024,463.150024,1428,904,1445,1445,904,106383.875,19718.19922,385.375,78,55124.57422,3583.050049,3583,55125
Microtus californicus,-124.0327,40.5216,-124.0327,40.5216,47,1215,915,53,27813,2117.024902,421.174988,1695.849854,854,1549,1574,854,117931.9297,21884,270.924988,81,61922.70313,2456,2886,61923
Microtus californicus,-121.426853,37.744623,-121.426853,37.744623,14,1574,1513,48,56470,3375.324951,228.449997,3146.875,834,2281,2281,834,25032.375,5319.175293,23.174999,87,13872.05078,299.625,300,13872
Microtus californicus,-121,36.89,-121,36.89,289,1582,1572,47,59717,3495.975098,171.175003,3324.800049,823,2354,2354,823,20838.05078,4296.375,37.575001,86,11519.22461,323.625,324,11519
Microtus californicus,-122.24708,37.880386,-122.24708,37.880386,328,1374,928,48,34249,2484.175049,568.200012,1915.975098,929,1758,1812,929,64980.72266,13594.84961,46.700001,90,36890.14844,782.274963,1479,36890
Microtus californicus,-123.120833,40.7525,-123.120833,40.7525,769,1139,1633,46,67114,3303.725098,-237.224991,3540.950195,328,2025,2025,328,104399.25,20706.15039,418.425018,83,56336.35156,2767.975098,2768,56336
