SPECIES,LONG_WGS84,LAT_WGS84,presAbs,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-119.0087676,35.4198391,Presence,-119.0087676,35.4198391,180,1786,1621,44,68669,3814,202.7250061,3611.274902,1095,2695,2695,927,16687.32422,3181.050049,32,82,9119.775391,241.5,242,8294
Microtus californicus,-118.496674,35.600131,Presence,-118.496674,35.600131,721,1646,1561,43,69236,3635.850098,22.625,3613.225098,940,2576,2576,821,28257.82617,6313.625,171.5,92,16618.19922,691.2999878,691,16329
Microtus californicus,-118.18188,36.16332,Absence,-118.18188,36.16332,2424,519,1533,46,57693,2327.875,-953.0250244,3280.899902,-167,1309,1309,-167,52394.07422,12108.47461,304.6000061,98,33054.14844,1314.400024,1314,33054
Microtus californicus,-118.403983,36.772973,Absence,-118.403983,36.772973,3249,57,1276,45,54396,1523.425049,-1309.675049,2833.100098,-534,806,806,-550,97839.72656,19125.57422,539.375,88,54289.42188,2908.524902,2909,51455
Microtus californicus,-118.36717,35.825082,Absence,-118.36717,35.825082,2268,757,1117,39,60155,2423.300049,-439.6499939,2862.949951,118,1577,1585,71,79674.45313,16659.09961,358.7999878,93,46728.125,1809.050049,2740,46195
Microtus californicus,-118.220007,36.498147,Absence,-118.220007,36.498147,3384,25,1339,45,54989,1592.25,-1359.5,2951.75,-587,791,791,-587,55524.625,11617.875,563.3499756,89,31731.52539,2054.25,2054,31732
Microtus californicus,-118.35854,36.551234,Absence,-118.35854,36.551234,3147,171,1354,43,61273,1887.625,-1253.900024,3141.524902,-518,999,1009,-538,62351.57422,12182.90039,196.8999939,89,34340.57422,968.7000122,1205,33833
Microtus californicus,-119.132257,36.717103,Absence,-119.132257,36.717103,636,1573,1389,41,66233,3482.899902,167.6750031,3315.224854,854,2466,2466,783,68114,13922.25,90.375,89,39328.5,822.6000366,823,36669
Microtus californicus,-118.3561116,36.7695434,Absence,-118.3561116,36.7695434,3177,154,1325,46,54525,1705.400024,-1166.349976,2871.75,-431,904,904,-466,78960.42188,16368.9502,531.4249878,88,43714.75,2566.699951,2567,42623
Microtus californicus,-118.75404,36.74744,Absence,-118.75404,36.74744,2314,445,1621,50,55758,2175.550049,-1059.125,3234.675049,-210,1201,1201,-210,87737.625,17992.44922,175.375,87,48020.10156,1536.275024,1536,48020
Microtus californicus,-118.913013,36.787727,Absence,-118.913013,36.787727,1592,888,1483,45,61969,2731.274902,-539.6749878,3270.949951,212,1721,1732,169,89982.89844,17636.65039,208.6499939,86,50767.80078,1498.375,2363,47676
