"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-121.895,46.9244,-121.895,46.9244,1180,519,928,38,53442,1935.400024,-463.362488,2398.762451,-42,1266,1266,-84,194531.8594,28829.69336,5622.556152,42,76458.22656,22612.20703,22612,65849
"Microtus longicaudus",-109.8754,32.6666,-109.8754,32.6666,2781,751,1174,43,57077,2183.90625,-496.987488,2680.893799,1445,1009,1515,76,96225.48438,17768.04297,1586.125,62,45721.11719,7469.225098,38562,24050
"Microtus longicaudus",-107.08,39.02,-107.08,39.02,3672,-167,1491,43,68142,1665.112549,-1730.081299,3395.193848,-1010,728,728,-1010,143183.9531,16770.08203,4738.668945,36,48774.45703,17775.82422,17776,48774
"Microtus longicaudus",-120.258629,39.43414,-120.258629,39.43414,2022,508,1700,49,60605,2513.925049,-943.318726,3457.243652,-223,1307,1307,-223,85818.04688,14105.70605,1217.3125,71,40890.99219,4015.237549,4015,40891
"Microtus longicaudus",-118.455902,46.0411,-118.455902,46.0411,196,1120,1389,40,73792,3193.118652,-276.981262,3470.099854,245,2045,2100,198,36558.35156,4623.887695,1028.599976,38,13349.92578,4064.118652,4940,12074
"Microtus longicaudus",-118.173077,46.2706,-118.173077,46.2706,374,1132,1224,36,74860,3137.162598,-252.068756,3389.231445,246,2080,2120,196,46911.26953,6223.71875,1278.756226,41,17796.52539,4861.53125,5787,15858
"Microtus longicaudus",-121.5703,46.7311,-121.5703,46.7311,620,849,1164,40,60210,2684.262451,-203.850006,2888.112549,185,1655,1655,149,190878.3125,33917.17969,2673.46875,68,96225.40625,12673.5,12674,86424
"Microtus longicaudus",-121.9142,47.038428,-121.9142,47.038428,966,623,853,37,51054,1973.018799,-305.462494,2278.481201,92,1335,1335,39,194103.5938,26767.69922,5285.318848,39,75472.72656,24626.21875,24626,67271
"Microtus longicaudus",-108.51,47.92,-108.51,47.92,1246,597,1346,34,86129,2677.96875,-1201.087524,3879.056152,1474,-482,1740,-482,46988.16406,10138.03711,1368.962524,67,23168.42383,4774.212402,19606,4774
"Microtus longicaudus",-106.89007,44.17453,-106.89007,44.17453,2304,350,1380,38,76705,2330.731445,-1224.212524,3554.943848,653,-573,1394,-573,46038.91406,7140.162598,1475.068726,48,19110.61328,4674.481445,15255,4674
"Microtus longicaudus",-106.325546,35.668335,-106.325546,35.668335,1697,1234,1685,42,81985,3293.368652,-668.106262,3961.474854,2209,195,2304,195,30515.4375,5645.4375,1175.618774,44,11788.6748,4858.637695,11710,4859
"Microtus longicaudus",-122.4127,42.2655,-122.4127,42.2655,1432,710,1327,42,64171,2603.662598,-526.668762,3130.331299,22,1582,1582,-32,90126.89844,14513.34961,1478.543823,59,40582.11719,6138.918945,6139,36540
"Microtus longicaudus",-120.189719,39.401672,-120.189719,39.401672,1804,656,1768,47,65629,2763.337402,-928.075012,3691.412354,-156,1518,1518,-156,80276.07813,13728.90625,864.3125,75,40769.13281,3476.90625,3477,40769
"Microtus longicaudus",-116.9537,45.2579,-116.9537,45.2579,1676,554,1158,34,73712,2485.381348,-837.568726,3322.950195,-279,1543,1543,-331,76356.07031,10238.27539,2749.981201,38,28638.21289,9812.619141,9813,27290
"Microtus longicaudus",-118.822636,38.581127,-118.822636,38.581127,2516,597,1429,43,68949,2536.53125,-779.618774,3316.149902,-129,1505,1520,-204,45157.50781,5992.274902,1743.112549,43,17055.98828,5391.487305,5548,16822
"Microtus longicaudus",-118.97,41.5,-118.97,41.5,2363,464,1063,33,70183,2345.018799,-782.393738,3127.412598,-265,1414,1423,-337,61678.17578,8781.950195,1074.518799,52,23793.39453,4528.262695,5308,22927
