"SPECIES","LONG_WGS84","LAT_WGS84"
"Microtus longicaudus",-118.262087,36.570723
"Microtus longicaudus",-118.247447,36.576454
"Microtus longicaudus",-121.220416,40.695123
"Microtus longicaudus",-119.64361,40.44417
"Microtus longicaudus",-114.15,39.23
"Microtus longicaudus",-120.0958,42.0433
"Microtus longicaudus",-111.6005,40.40359
"Microtus longicaudus",-117.0419,48.1833
"Microtus longicaudus",-113.5811,43.4553
"Microtus longicaudus",-113.5635,43.4729
"Microtus longicaudus",-118.3311,44.5781
"Microtus longicaudus",-111.5725,42.3292
"Microtus longicaudus",-119.930175,38.68196
"Microtus longicaudus",-117.3669,45.2558
"Microtus longicaudus",-112.37898,39.95994
"Microtus longicaudus",-112.45222,40.35528
"Microtus longicaudus",-104.94,36.46
"Microtus longicaudus",-111.87105,40.80265
"Microtus longicaudus",-111.81115,40.82065
"Microtus longicaudus",-122.8864,46.8378
"Microtus longicaudus",-122.9107,44.2042
"Microtus longicaudus",-114.31667,39.005
"Microtus longicaudus",-117.1014,47.8706
"Microtus longicaudus",-121.1194,47.7494
"Microtus longicaudus",-120.6525,45.985
"Microtus longicaudus",-121.5208,45.4189
"Microtus longicaudus",-120.667186,45.974762
"Microtus longicaudus",-111.106,44.1296
"Microtus longicaudus",-113.6501,48.7993
"Microtus longicaudus",-123.020779,41.169367
"Microtus longicaudus",-120.26746,38.75476
"Microtus longicaudus",-122.20165,41.350522
"Microtus mexicanus",-111.3761,34.8372
"Microtus montanus",-118.4725,40.17944
"Microtus montanus",-118.29,36.57
"Microtus montanus",-106.987222,38.869707
"Microtus montanus",-120.379685,41.784202
"Microtus montanus",-120.344282,41.436398
"Microtus montanus",-120.310479,39.44296
"Microtus montanus",-120.377779,39.818871
"Microtus montanus",-122.398523,41.602448
"Microtus montanus",-118.52901,37.80021
"Microtus montanus",-118.3139,46.2997
"Microtus montanus",-120.544615,39.301661
"Microtus montanus",-122.320284,41.32009
"Microtus montanus",-120.2937,43.9753
"Microtus montanus",-120.737296,41.474398
"Microtus montanus",-120.145,46.3558
"Microtus montanus",-120.980515,41.884222
"Microtus montanus",-117.48083,38.93389
"Microtus montanus",-117.25639,39.29639
"Microtus montanus",-117.6575,39.24028
"Microtus montanus",-120.409473,41.616355
"Microtus montanus",-119.6371,39.95028
"Microtus montanus",-119.304187,37.148065
"Microtus montanus",-111.30488,39.69582
"Microtus montanus",-109.79278,40.40389
"Microtus montanus",-115.5,40.16
"Microtus montanus",-115.59,40.34
"Microtus montanus",-121.7082,40.3255
"Microtus montanus",-118.05361,37.73806
"Microtus montanus",-120.21667,40.86884
"Microtus montanus",-120.2808,40.9187
"Microtus montanus",-115.53,40.07
"Microtus montanus",-115.55,40.13
"Microtus montanus",-115.48,41.79
"Microtus montanus",-114.12194,39.02783
"Microtus montanus",-115.33111,39.01333
"Microtus montanus",-111.66554,40.24039
"Microtus montanus",-113.58333,37.10417
"Microtus montanus",-119.4822,40.7192
"Microtus montanus",-119.7486,48.5575
"Microtus montanus",-115.16361,37.365
"Microtus montanus",-114.81,39.19
"Microtus montanus",-117.10117,38.95378
"Microtus montanus",-117.1143,38.96403
"Microtus montanus",-117.1625,39.25556
"Microtus montanus",-117.034396,39.395973
"Microtus montanus",-114.48722,39.25639
"Microtus montanus",-114.72,39.19
"Microtus montanus",-114.0705,40.91833
"Microtus montanus",-113.10556,41.74611
"Microtus montanus",-111.83361,41.73556
"Microtus montanus",-105.77,39.79
"Microtus montanus",-110.88758,40.70461
"Microtus montanus",-115.19,37.46
"Microtus montanus",-115.23306,37.57517
"Microtus montanus",-115.22333,37.59694
"Microtus montanus",-115.233067,37.53167
"Microtus montanus",-115.19222,37.46056
"Microtus montanus",-122.492451,41.347922
"Microtus montanus",-112.8731,42.7247
"Microtus montanus",-114.8583,43.9153
"Microtus montanus",-113.7097,41.9163
"Microtus montanus",-109.844742,34.037867
"Microtus montanus",-107.75195,37.214989
"Microtus montanus",-106.56329,38.167154
"Microtus montanus",-106.554104,38.167276
"Microtus montanus",-107.810009,37.628596
"Microtus montanus",-113.04667,37.40139
"Microtus montanus",-122.341543,41.482324
"Microtus montanus",-112.02833,40.84639
"Microtus montanus",-112.83015,37.61052
"Microtus montanus",-113.5568,42.6681
"Microtus montanus",-113.5606,42.2483
"Microtus montanus",-118.4425,45.4942
"Microtus montanus",-118.75833,38.52083
"Microtus montanus",-119.921001,39.259582
"Microtus montanus",-118.820002,37.617808
"Microtus montanus",-115.24,41.49
"Microtus montanus",-114.05,41.96
"Microtus montanus",-114.07,41.95
"Microtus montanus",-122.451487,41.445364
"Microtus montanus",-122.400659,41.597938
"Microtus montanus",-114.8978,42.7832
"Microtus montanus",-110.30944,40.95778
"Microtus montanus",-121.598586,41.582996
"Microtus montanus",-120.834194,41.453748
"Microtus montanus",-117.16,39.59
"Microtus montanus",-116.12278,40.49611
"Microtus montanus",-118.64,42.73
"Microtus montanus",-111.1528,43.5721
"Microtus montanus",-113.7033,44.1569
"Microtus montanus",-119.3364,39.61725
"Microtus montanus",-118.0442,37.2739
"Microtus montanus",-111.5725,42.3292
"Microtus montanus",-118.3311,44.5781
"Microtus montanus",-111.8473,40.751
"Microtus montanus",-111.88,40.88944
"Microtus montanus",-111.90111,40.89389
"Microtus montanus",-119.0149,43.6533
"Microtus montanus",-111.41962,38.30059
"Microtus montanus",-121.387019,41.845155
"Microtus montanus",-117.1786,46.7314
"Microtus montanus",-122.9107,44.2042
"Microtus montanus",-112.08407,38.76531
"Microtus montanus",-111.873,40.79905
"Microtus montanus",-118.3872,46.0494
"Microtus montanus",-118.008404,46.067908
"Microtus montanus",-120.5289,46.6542
"Microtus montanus",-106.32431,41.31009
