SPECIES,LONG_WGS84,LAT_WGS84
Callospermophilus lateralis,-111.48944,39.12694
Callospermophilus lateralis,-111.13055,39.423611
Callospermophilus lateralis,-121.39,43.85
Callospermophilus lateralis,-121.37,43.85
Callospermophilus lateralis,-121.19,43.86
Callospermophilus lateralis,-121.57,44
Callospermophilus lateralis,-121.47,44
Callospermophilus lateralis,-109.364246,33.750887
Callospermophilus lateralis,-117.1394,45.6271
Callospermophilus lateralis,-111.67885,37.92409
Callospermophilus lateralis,-116.89664,34.302602
Callospermophilus lateralis,-116.92667,34.30722
Callospermophilus lateralis,-120.702926,40.418879
Callospermophilus lateralis,-122.23,43.26
Callospermophilus lateralis,-121.2,43.46
Callospermophilus lateralis,-121.04,43.53
Callospermophilus lateralis,-121.465312,40.515618
Callospermophilus lateralis,-114.32013,39.0023
Callospermophilus lateralis,-114.30167,39.01083
Callospermophilus lateralis,-116.96312,34.25095
Callospermophilus lateralis,-116.83742,34.22237
Callospermophilus lateralis,-118.27029,36.4785
Callospermophilus lateralis,-118.38546,36.77076
Callospermophilus lateralis,-119.69941,37.65271
Callospermophilus lateralis,-121.174367,40.741373
Callospermophilus lateralis,-121.178519,40.734076
Callospermophilus lateralis,-121.163996,40.720305
Callospermophilus lateralis,-121.136175,40.719374
Callospermophilus lateralis,-121.117465,40.755425
Callospermophilus lateralis,-121.136084,40.712353
Callospermophilus lateralis,-119.75385,37.774817
Callospermophilus lateralis,-120.215,39.4463
Callospermophilus lateralis,-121.124442,40.721452
Callospermophilus lateralis,-121.148229,40.730869
Callospermophilus lateralis,-121.114813,40.737906
Callospermophilus lateralis,-121.116567,40.744159
Callospermophilus lateralis,-121.182357,40.730686
Callospermophilus lateralis,-108.610833,33.388683
Callospermophilus lateralis,-106.83915,36.003633
Callospermophilus lateralis,-120.7791,40.5486
Callospermophilus lateralis,-120.838285,40.630699
Callospermophilus lateralis,-118.14757,37.50348
Callospermophilus lateralis,-118.19846,37.50742
Callospermophilus lateralis,-105.64635,35.75555
Callospermophilus lateralis,-107.6801,37.454
Callospermophilus lateralis,-110.4044,41.0365
Callospermophilus lateralis,-118.7543,41.6785
Callospermophilus lateralis,-120.4486,44.4231
Callospermophilus lateralis,-119.988687,38.480851
Callospermophilus lateralis,-120.29095,39.42091
Callospermophilus lateralis,-120.2521,39.433308
Callospermophilus lateralis,-120.309225,39.447115
Callospermophilus lateralis,-120.295794,39.451907
Callospermophilus lateralis,-106.61895,35.24795
Callospermophilus lateralis,-118.59486,37.24442
Callospermophilus saturatus,-121.033285,48.883853
Callospermophilus saturatus,-121.022347,48.912797
Callospermophilus saturatus,-120.8053,46.9072
Callospermophilus saturatus,-121.665,46.964976
Callospermophilus saturatus,-121.5158,46.8694
Callospermophilus saturatus,-121.5861,46.9175
Callospermophilus saturatus,-121.64111,46.915
Callospermophilus saturatus,-121.79,45.96
Callospermophilus saturatus,-121.63,45.96
Callospermophilus saturatus,-121.6558,46.9114
Callospermophilus saturatus,-121.6319,46.9161
Callospermophilus saturatus,-120.7228,47.9101
Callospermophilus saturatus,-120.6258,48.58
Callospermophilus saturatus,-121.494,46.6861
Callospermophilus saturatus,-121.417327,46.639274
Callospermophilus saturatus,-121.304226,46.646138
Callospermophilus saturatus,-121.545939,46.68595
Callospermophilus saturatus,-119.944812,48.662423
Callospermophilus saturatus,-120.5083,47.7517
Callospermophilus saturatus,-121.016667,47.1
Otospermophilus beecheyi,-122.7547,45.2311
Otospermophilus beecheyi,-121.0236,46.9081
Otospermophilus beecheyi,-118.846332,34.688485
Otospermophilus beecheyi,-117.147,33.41
Otospermophilus beecheyi,-118.03139,33.974117
Otospermophilus beecheyi,-120.245529,41.363854
Otospermophilus beecheyi,-118.621905,35.279232
Otospermophilus beecheyi,-119.552844,37.314582
Otospermophilus beecheyi,-119.97844,39.5183
Otospermophilus beecheyi,-121.23,35.98
Otospermophilus beecheyi,-121.924295,36.621437
Otospermophilus beecheyi,-120.22386,39.43159
Otospermophilus beecheyi,-122.9003,45.2536
Otospermophilus beecheyi,-118.584981,34.323413
Otospermophilus beecheyi,-121.00416,38.052271
Otospermophilus beecheyi,-121.836189,38.547705
Otospermophilus beecheyi,-117.045605,34.226552
Otospermophilus beecheyi,-117.132773,34.225781
Otospermophilus beecheyi,-117.093357,34.233655
Otospermophilus beecheyi,-117.288957,34.228054
Otospermophilus beecheyi,-121.55682,36.378523
Otospermophilus beecheyi,-118.578786,34.139922
Otospermophilus beecheyi,-118.391699,34.432328
Otospermophilus beecheyi,-117.250962,33.38315
Otospermophilus beecheyi,-118.25872,34.43889
Otospermophilus beecheyi,-118.223701,34.438893
Otospermophilus beecheyi,-122.715968,38.796076
Otospermophilus beecheyi,-120.845374,39.32139
Otospermophilus beecheyi,-122.95,39.44
Otospermophilus beecheyi,-119.721443,37.090636
Otospermophilus beecheyi,-118.597929,37.236503
Otospermophilus beecheyi,-122.6603,45.6389
Otospermophilus beecheyi,-116.756311,33.823839
Otospermophilus beecheyi,-116.78597,34.158636
Otospermophilus beecheyi,-116.77823,34.17015
Otospermophilus beecheyi,-116.74154,34.21078
Otospermophilus beecheyi,-121.520155,36.408361
Otospermophilus beecheyi,-121.549313,36.386599
Otospermophilus beecheyi,-121.55555,36.37581
Otospermophilus beecheyi,-117.800814,34.088521
Otospermophilus beecheyi,-118.736258,34.142702
Otospermophilus beecheyi,-123.83,44.56
Otospermophilus beecheyi,-123.69,44.67
Otospermophilus beecheyi,-122.61969,38.81608
Otospermophilus beecheyi,-119.535559,36.917697
Otospermophilus beecheyi,-118.913846,35.266852
Otospermophilus beecheyi,-118.948755,35.396389
Otospermophilus beecheyi,-122.265982,37.872408
Otospermophilus beecheyi,-118.69642,35.02651
Otospermophilus beecheyi,-120.379609,36.116289
Otospermophilus beecheyi,-122.153406,37.646686
Otospermophilus beecheyi,-122.024694,37.927164
