SPECIES,LONG_WGS84,LAT_WGS84
Callospermophilus lateralis,-116.958,38.688772
Callospermophilus lateralis,-116.95392,38.71333
Callospermophilus lateralis,-116.93167,38.78833
Callospermophilus lateralis,-108.826393,35.792778
Callospermophilus lateralis,-116.85222,34.12194
Callospermophilus lateralis,-118.57,36.56
Callospermophilus lateralis,-118.404817,36.478949
Callospermophilus lateralis,-118.53999,36.180745
Callospermophilus lateralis,-119.921001,39.259582
Callospermophilus lateralis,-119.93018,38.68196
Callospermophilus lateralis,-122.1056,42.9439
Callospermophilus lateralis,-106.798337,37.482489
Callospermophilus lateralis,-122.492451,41.347922
Callospermophilus lateralis,-114.1097,43.9336
Callospermophilus lateralis,-119.096019,38.659462
Callospermophilus lateralis,-117.902145,36.626016
Callospermophilus lateralis,-117.931709,36.647916
Callospermophilus lateralis,-122.222242,41.763127
Callospermophilus lateralis,-122.42382,41.402433
Callospermophilus lateralis,-121.598308,41.611942
Callospermophilus lateralis,-121.5481,44.2911
Callospermophilus lateralis,-108.427225,37.166653
Callospermophilus lateralis,-112.5195,37.49154
Callospermophilus lateralis,-109.73069,40.85713
Callospermophilus lateralis,-116.04664,41.77714
Callospermophilus lateralis,-122.925881,41.910649
Callospermophilus lateralis,-122.905471,41.997971
Callospermophilus lateralis,-123.537569,41.978598
Callospermophilus lateralis,-121.514213,41.705138
Callospermophilus lateralis,-121.8451,41.262033
Callospermophilus lateralis,-120.3058,42.1889
Callospermophilus lateralis,-119.99,42
Callospermophilus lateralis,-119.98,41.99
Callospermophilus lateralis,-119.85944,41.59947
Callospermophilus lateralis,-119.955,39.00222
Callospermophilus lateralis,-122.2122,42.8044
Callospermophilus lateralis,-118.262087,36.570723
Callospermophilus lateralis,-118.247447,36.576454
Callospermophilus lateralis,-113.7033,44.1569
Callospermophilus lateralis,-119.33083,40.79164
Callospermophilus lateralis,-119.33083,40.79889
Callospermophilus lateralis,-118.6467,42.7372
Callospermophilus lateralis,-111.5834,42.3073
Callospermophilus lateralis,-111.5739,42.3217
Callospermophilus lateralis,-118.3311,44.5781
Callospermophilus lateralis,-122.1444,42.9389
Callospermophilus lateralis,-122.0628,43.0453
Callospermophilus lateralis,-119.988189,38.694011
Callospermophilus lateralis,-121.7442,44.0158
Callospermophilus lateralis,-117.1917,45.0083
Callospermophilus lateralis,-105.999942,38.650694
Callospermophilus lateralis,-113.5381,43.4169
