presentAbsent,DRAINAGE_DENS,CV_TEMP
0,1.8351,1.58
0,1.2166,1.57
0,1.5134,1.5399
0,1.306,1.8297
0,1.5035,1.56
0,1.6734,1.8674
0,2.1867,1.74
0,1.0353,1.61
0,1.774,1.83
0,1.9456,1.53
0,2.3883,1.73
0,2.4364,1.65
0,1.0023,1.73
0,1.4733,1.6919
0,1.5869,1.5809
0,1.9649,1.61
0,0.3818,1.68
0,2.0586,1.69
0,1.6315,1.76
0,1.9358,1.6585
0,2.04,1.7186
0,1.6228,1.59
0,1.9799,1.88
0,1.5537,1.8018
0,2.0267,1.54
0,3.3564,1.67
0,6.9486,1.77
0,1.0352,1.6605
0,1.8777,1.7
0,1.5094,1.72
0,2.3729,1.8781
0,1.4815,1.8275
0,2.1062,1.74
0,4.3463,1.6838
0,2.7762,1.71
0,3.5408,1.76
0,1.6898,1.7977
0,2.1407,1.72
0,1.9943,1.62
0,1.7361,1.56
0,6.3108,1.7
0,1.2967,1.8624
0,1.5868,1.7312
0,1.1293,1.6465
0,1.8806,1.654
0,0.9739,1.6085
0,2.3957,1.54
0,2.8805,1.6
0,1.8816,1.6399
0,1.4011,1.65
0,0.779,1.7293
0,2.196,1.59
0,1.6322,1.64
0,1.7233,1.74
0,1.46,1.66
0,2.1095,1.6969
0,2.2946,1.79
0,2.0117,1.6183
0,2.7749,1.6569
0,1.7569,1.59
0,1.9513,1.6724
0,0.2894,1.74
0,1.6633,1.8148
0,2.836,1.6296
0,0.5118,1.9
0,1.7643,1.6756
0,1.9702,1.6885
0,1.8512,1.8427
0,0.5544,1.69
0,1.2045,1.5015
0,1.8879,1.8566
0,2.2483,1.64
0,2.165,1.7307
0,2.0337,0
0,3.0642,1.85
0,1.2061,1.69
0,1.923,1.6994
0,1.7399,1.67
0,2.0181,1.7976
0,1.6502,1.6633
0,2.1355,1.6272
0,1.0416,1.66
0,1.1061,1.55
0,2.0069,1.93
0,1.6213,1.76
0,2.2987,1.6829
0,1.8629,1.78
0,1.1471,1.48
0,1.9278,1.55
0,1.8993,1.77
0,1.733,1.57
0,1.9778,1.56
0,1.6889,1.6542
0,2.6113,1.65
0,2.0635,1.6709
0,1.472,1.6308
0,1.7008,1.9149
0,1.2586,1.65
0,2.993,1.6891
0,1.9972,1.78
0,1.2198,1.525
0,0.5952,1.7517
0,2.7162,1.69
0,1.3767,1.87
0,2.2659,0
0,2.0823,1.6421
0,1.5947,1.53
0,1.6733,1.6852
0,2.2658,1.67
0,2.0745,1.8591
0,1.4127,1.8
0,1.3332,1.6494
0,1.1484,1.65
0,1.4573,1.6412
0,2.8978,1.58
0,2.6184,1.55
0,0.5936,1.93
0,0.2501,1.81
0,4.6151,1.82
0,1.5399,1.67
0,1.8965,1.65
0,1.3601,1.57
0,1.1209,1.8196
0,1.7069,1.49
0,1.9748,1.8
0,1.6884,1.7629
0,2.1813,1.85
0,1.8333,1.7729
0,1.6018,1.6797
0,0.8903,1.6
0,1.6336,1.71
0,2.4003,1.6127
0,1.3111,1.6312
0,2.1444,1.6697
0,1.4679,1.69
0,8.2718,1.89
0,3.487,1.8344
0,2.3048,1.6706
0,2.0139,1.76
0,1.809,1.5925
0,1.6396,1.72
0,1.6909,1.5131
0,2.5436,1.4895
0,2.1957,1.8004
0,1.6904,1.73
0,0.9438,1.81
0,3.9117,1.7508
0,1.943,1.5187
0,2.0537,1.6816
0,0.4577,1.79
0,1.3913,1.6847
0,1.985,1.63
0,1.646,1.7982
0,1.5261,1.64
0,1.976,1.7313
0,2.0671,1.6416
0,3.1432,1.7715
0,2.7709,1.8507
0,2.1581,1.8357
0,0.0414,1.7981
0,2.1732,1.7909
0,2.9771,1.75
0,1.9742,1.49
0,1.3473,1.8245
0,1.6208,1.54
0,2.2439,1.67
0,1.5524,1.6
0,0.3931,0
0,1.9584,1.58
0,1.4371,1.7751
0,1.9457,1.8121
0,0.9016,1.5282
0,1.7542,1.7475
0,2.7053,1.68
0,2.3685,1.61
0,0.9997,1.4679
0,1.8768,1.73
0,2.1597,1.67
0,1.8521,1.6764
0,1.1344,1.81
0,1.425,1.57
0,2.2747,1.8362
0,1.6156,1.5376
0,3.5861,1.56
0,2.5931,1.61
0,1.3393,1.5615
0,1.4509,1.6583
0,1.7462,1.59
0,1.9904,1.8968
0,2.173,1.6876
0,3.3639,1.71
0,1.4963,1.6753
0,1.6662,1.849
0,1.5689,1.68
0,2.6971,1.7181
0,1.2632,1.71
0,1.1778,1.57
0,1.6142,1.8
0,1.6971,1.71
0,3.1173,1.73
0,0.705,1.8599
0,1.067,1.4854
0,2.6004,1.9099
0,4.6164,1.81
0,2.0605,1.67
0,1.7875,1.7387
0,1.3736,0
0,1.1143,1.671
0,2.0083,1.7164
0,1.3631,1.62
0,2.1239,1.74
0,0.9483,1.5068
0,0.5802,1.8949
0,1.5654,1.639
0,3.9234,1.75
0,1.9848,1.7678
0,1.3691,1.8099
0,1.9802,1.6
0,1.6321,1.6795
0,1.5739,1.8
0,1.5416,1.5187
0,5.7928,1.79
0,0.6428,1.619
0,1.4587,1.5287
0,3.2448,1.611
0,0.6572,1.73
0,1.082,1.5185
0,2.0969,1.7776
0,1.5763,1.73
0,2.1042,1.68
0,4.297,1.8
0,2.1553,1.7
0,1.6774,1.55
0,1.3211,1.92
0,1.5498,1.53
0,0.9636,1.72
0,1.8271,1.7396
0,1.5376,1.52
0,2.0583,1.7688
0,1.3614,1.5004
0,1.7389,0
0,2.1839,1.47
0,2.0227,1.64
0,1.7408,1.57
0,2.0297,1.6788
0,1.4594,1.62
0,1.9069,1.8202
0,0.9448,1.8167
0,2.6091,1.8243
0,1.9449,1.795
0,1.7044,1.72
0,2.0251,1.55
0,0.0623,1.65
0,1.9559,1.64
