SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-118.683456,37.549884,1973,759,1542,43,70081,2700.3125,-823.712524,3524.024902,-73,1710,1710,-73,36831.77344,6260.418945,879.681274,63,17364.91797,3300.21875,3300,17365
Callospermophilus lateralis,-119.5276,45.3329,1973,951,1318,40,66936,2900.537598,-381.03125,3281.568848,861,1817,1845,126,36542.03125,4319.018555,876.256226,37,11952.875,3829.706299,5196,10455
Callospermophilus lateralis,-116.795649,34.227292,1973,770,1567,48,59633,2548.631348,-663.056274,3211.6875,136,1347,1580,84,67685.00781,15014.56836,326.475006,88,39679.4375,3156.224854,3583,37135
Callospermophilus lateralis,-116.97911,34.14433,1973,943,1423,47,60499,2651.237549,-360.625,3011.862549,307,1744,1755,240,70625.27344,16584.8125,414.599976,86,41189.39453,3185.6875,5660,37676
Callospermophilus lateralis,-116.91318,34.291136,1973,807,1669,52,57006,2629.868652,-550.637451,3180.506104,212,1341,1582,167,63264.58203,13248.78711,322.462524,84,35868.17578,3472.756348,3942,33975
Callospermophilus lateralis,-111.63,41.89,1973,379,1172,34,79990,2281.743652,-1131.918701,3413.662354,-504,1458,1458,-578,122424.5703,17645.14453,2891.475098,51,50720.82031,10254.28711,10254,49129
Callospermophilus lateralis,-120.32,39.31,1973,523,1086,38,61763,2115.393799,-700.474976,2815.868652,-165,1353,1371,-165,151596.9375,25667.03711,1322.162476,74,74022.54688,5690.006348,6884,74023
Callospermophilus lateralis,-120.30567,39.42114,1973,503,1188,38,65363,2284.143799,-778.950012,3063.09375,-235,1389,1393,-235,116445,20010.9375,1081.743774,75,58132.05469,4647.368652,5215,58132
Callospermophilus lateralis,-120.05328,39.55094,1973,777,1627,45,68221,2871.6875,-695.337524,3567.024902,-37,1683,1683,-37,62751.78125,10581.10645,688.025024,73,31690.88086,3435.912598,3436,31691
Callospermophilus lateralis,-119.911161,39.324319,1973,360,1145,39,62801,2054.568848,-840.912476,2895.481445,-324,1227,1227,-324,161686.8906,31735.3125,1567.868774,80,85076.39844,6551.987793,6552,85076
Callospermophilus lateralis,-106.93,37.42,1973,360,1481,41,74763,2289.600098,-1320.287476,3609.887695,-456,1109,1350,-547,93095.95313,10881.66895,2960.043701,27,29933.98828,14143.72461,17789,27531
