"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-118.250512,36.308941,-118.250512,36.308941,2954,273,1583,48,57207,2074,-1197.699951,3271.699951,-403,1056,1056,-403,53892.30078,12470.15039,292.25,100,34193.64844,1206.5,1207,34194
"Microtus longicaudus",-118.32024,36.81301,-118.32024,36.81301,2369,689,1452,43,65869,2520.350098,-827.950012,3348.300049,-119,1318,1574,-119,28709.67383,5351.049805,906.674988,67,14422.72461,2817.149902,3452,14423
"Microtus longicaudus",-118.289486,36.78326,-118.289486,36.78326,1834,1076,1404,42,67228,2892.824951,-429.799988,3322.625,259,1705,1980,259,23711.42383,4579.424805,729.174988,71,12404.32422,2329.524902,3006,12404
"Microtus longicaudus",-120.712438,39.257083,-120.712438,39.257083,1441,1114,1066,38,59577,2722.574951,-30.075001,2752.649902,465,1928,1928,439,160827.2188,30832.75,355.25,82,85883.85156,3427.549805,3428,84195
"Microtus longicaudus",-123.799569,39.306566,-123.799569,39.306566,22,1126,989,66,18920,1861,374.75,1486.25,875,1350,1362,875,100348.75,20179.375,191.300003,84,54644.54688,1984.400024,2198,54645
"Microtus longicaudus",-120.547124,39.310546,-120.547124,39.310546,1740,774,1404,44,59735,2590.550049,-558.275024,3148.825195,103,1572,1572,63,164422.5938,32789.92578,313.524994,81,86449.10156,3127.050049,3127,85689
"Microtus longicaudus",-120.547562,39.301873,-120.547562,39.301873,1796,789,1275,42,59747,2511.675049,-480.224976,2991.899902,128,1596,1596,94,165936.6406,32798.69922,261.125,81,88248.89844,3223.074951,3223,86274
"Microtus longicaudus",-117.81,46.1644,-117.81,46.1644,993,770,1147,35,69406,2654.425049,-590.474976,3244.899902,15,1658,1682,-114,100748.3047,14892.27539,1686.900024,54,43194.82813,7890.024902,8754,39244
"Microtus longicaudus",-123.799858,39.443515,-123.799858,39.443515,35,1129,968,67,18253,1843.550049,402,1441.550049,884,1341,1349,884,96214.10156,19361,187.625,84,52539.19922,1869.025024,2106,52539
"Microtus longicaudus",-118.2352,37.40611,-118.2352,37.40611,2072,765,1701,45,70117,2823.175049,-934.5,3757.675049,-10,1647,1720,-83,32104.34961,4702.200195,1175.474976,46,13063.75,3848.699951,4484,12156
"Microtus longicaudus",-118.17378,37.49611,-118.17378,37.49611,3164,59,1458,44,63277,1876.699951,-1432.050049,3308.75,-492,183,926,-680,36381.22656,5678.225098,1254.449951,43,13913.3252,4427.599609,8697,10814
