SPECIES,LONG_WGS84,LAT_WGS84,presAbs,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-120.35093,37.529065,Presence,-120.35093,37.529065,114.896,1675,1484,45,64060,3530.800049,280.0187378,3250.78125,1031,2489,2489,870,39443.76172,7092.512695,52.21875,83,20753.45703,534.03125,534,20080
Microtus californicus,-120.35495,37.54692,Presence,-120.35495,37.54692,118.3926667,1672,1492,45,64051,3531.081055,279.9750061,3251.105957,1025,2488,2488,869,40056.26953,7186.78125,54.48125076,82,21041.70703,537.7312622,538,20380
Microtus californicus,-118.4967251,35.599554,Presence,-118.4967251,35.599554,732,1690,1575,44,69290,3630.543701,74.08125305,3556.462402,998,2603,2603,864,28663.41211,6198.625,176.2625122,91,16714.89453,878.9875488,879,16502
Microtus californicus,-118.1919061,36.1660483,Absence,-118.1919061,36.1660483,2413,549,1639,49,56867,2382.25,-922.4375,3304.6875,-120,1322,1322,-120,55234.13281,12266.54395,492.9437561,96,34146.63672,1717.575073,1718,34147
Microtus californicus,-118.4040739,36.7701135,Absence,-118.4040739,36.7701135,3240,108,1209,42,58016,1603.868774,-1218.862549,2822.731445,-518,897,897,-539,86205.21875,16197.0625,816.1312256,84,45596.26953,2987.856201,2988,44035
Microtus californicus,-118.3707494,35.8334444,Absence,-118.3707494,35.8334444,2282,806,1047,37,62494,2438.325195,-348.4624939,2786.787598,106,1643,1652,106,84615.10938,17288.94922,559.8062134,91,49373.86328,2457.306152,3648,49374
Microtus californicus,-118.20772,36.49873,Absence,-118.20772,36.49873,3398,69,1255,43,57386,1617.75,-1256.412476,2874.162598,-558,862,862,-558,52355.3125,9900.09375,746.9875488,84,28579.11719,2332.762695,2333,28579
Microtus californicus,-118.3576782,36.552653,Absence,-118.3576782,36.552653,3166,167,1387,44,61815,1902.693726,-1236.993774,3139.6875,-506,1006,1006,-550,58387.95703,10606.77539,378.8499756,85,30824.04297,1392.356201,1392,30616
Microtus californicus,-119.1186399,36.7301617,Presence,-119.1186399,36.7301617,583,1658,1324,41,68107,3492.956299,267.7875061,3225.168701,976,2561,2567,861,66820.44531,12902.24414,113.34375,84,36231.07031,1075.96875,1657,34363
Microtus californicus,-118.702,37.188599,Absence,-118.702,37.188599,3441,-111,1175,41,55926,1411.731201,-1400.143799,2811.875,-734,660,660,-734,86441.63281,17433.875,869.5250244,85,48066.03125,3001.125,3001,48066
Microtus californicus,-118.556,37.1027,Absence,-118.556,37.1027,3454,54,977,37,58153,1437.668701,-1151.987549,2589.65625,-578,848,848,-598,103277.6016,19023.86914,1099.59375,81,53589.23828,3361.818848,3362,52772
Microtus californicus,-118.7664448,36.746714,Absence,-118.7664448,36.746714,2262,447,1577,49,58726,2188.71875,-1028.0625,3216.78125,-241,1232,1232,-241,95037.1875,17487.65625,454.0499878,82,50455.14063,2189.612549,2190,50455
Microtus californicus,-118.9040388,36.7919836,Absence,-118.9040388,36.7919836,1614,927,1419,45,62058,2726.231201,-421.59375,3147.824951,284,1760,1769,221,92678.3125,17530.11914,233.7562561,81,49003.82031,1809.625,2903,47341
Microtus californicus,-118.2269272,36.0929196,Absence,-118.2269272,36.0929196,2373,665,1400,45,57666,2391.175049,-666.6375122,3057.8125,-1,1443,1443,-1,44817.85156,10207.6123,322.5,98,28231.95703,1322.3125,1322,28232
Microtus californicus,-118.600285,36.791109,Absence,-118.600285,36.791109,1507,1112,1548,47,63021,2914.90625,-346.4874878,3261.393799,413,1969,1993,413,98223.14063,18492.91797,578.5,82,51779.42969,2887.949951,3317,51779
Microtus californicus,-118.1341831,36.2532438,Absence,-118.1341831,36.2532438,2940,366,1198,41,58361,1939.612549,-921.03125,2860.643799,-293,1167,1167,-293,47169.97656,10083.55664,352.1062622,96,28749.77539,1474.150024,1474,28750
Microtus californicus,-118.120386,36.4753532,Absence,-118.120386,36.4753532,2905,457,1199,41,59034,2030.768799,-852.5750122,2883.34375,-184,1266,1266,-202,37565.43359,7550.806641,587.2437744,73,19482.42578,2521.318848,2521,18695
Microtus californicus,-118.6173197,35.5353281,Absence,-118.6173197,35.5353281,741,1695,1494,42,69287,3636.112549,151.6937561,3484.418701,1006,2603,2610,878,43606.55469,8286.887695,41.91250229,83,23572.64453,891.8312378,1261,21388
Microtus californicus,-119.4403854,36.7504894,Absence,-119.4403854,36.7504894,138,1760,1549,44,68296,3750.512451,302.5125122,3448,1076,2637,2637,910,33627.29297,6550.481445,26.04999924,86,18621.875,497.7937317,498,17201
Microtus californicus,-118.334185,36.77509,Absence,-118.334185,36.77509,2772,437,1445,44,63753,2199.787598,-1020.837463,3220.625,-264,1298,1298,-289,62116.11328,10942.24414,756.7000122,79,32175.85547,2545.587402,2546,31452
Microtus californicus,-118.3274356,35.9447078,Absence,-118.3274356,35.9447078,2760,552,1149,40,58078,2111.118652,-701.0687256,2812.1875,-92,1359,1359,-92,75019.03125,17841.91211,479.4187622,100,47949.8125,2022.612549,2023,47950
Microtus californicus,-118.2266916,35.965359,Absence,-118.2266916,35.965359,1542,1007,1595,45,65774,2955.425049,-531.9874878,3487.412598,319,1651,1883,219,33446.21094,8809.518555,87.30625153,98,20092.28711,1109.65625,1351,19139
Microtus californicus,-118.2957237,35.8300014,Absence,-118.2957237,35.8300014,2167,828,1215,40,63718,2574.449951,-419.0250244,2993.475098,85,1679,1679,85,77627.64063,15390.81836,467.3062744,87,43092.22656,2014.181274,2014,43092
Microtus californicus,-118.3052221,35.7163161,Presence,-118.3052221,35.7163161,999,1509,1516,44,67528,3431.931152,0.793750048,3431.137451,833,2402,2402,710,38917.53125,8453.549805,163.3874969,91,22382.23047,941.0750122,941,21858
Microtus californicus,-118.2953012,35.6785335,Absence,-118.2953012,35.6785335,810,1694,1643,44,71835,3678.981201,4.543750286,3674.4375,972,2645,2645,834,27765.5,7529.918945,76.11875153,102,17476.97656,518.2999878,518,16870
Microtus californicus,-118.2748239,36.4314867,Absence,-118.2748239,36.4314867,2990,212,1702,50,58578,2033.131226,-1348.40625,3381.537598,-467,1009,1009,-467,48954.1875,10317.59375,440.5499878,96,29510.21289,1437.34375,1437,29510
